ID	EN	Example or notes
charas_popup_renamed	Имя изменено на {1}	
		
		
		
		
		
		
fact_name	имя	
fact_basics	basics	
fact_more	больше	
fact_enhancement	расширение	
fact_birthday	день рождения	
fact_likes	любит {1}	
fact_dislikes	не любит {1}	
fact_dating	отношения	
fact_likesNothing	Ничего	
fact_likesEverything	Всё	
fact_noBirthday	Не имеет	
		
		
		
month_1	Раняя {1}	1st month of {1}
month_2	Средняя {1}	2nd month of {1}
month_3	Поздняя {1}	3rd month of {1}
month_season	Сезон: {1}	Quiet season
month_age	{1} лет	age 15
month_food	пища {1}	food +5
month_defense	защита {1}	defense -2
month_button_startAge	начать в возрасте {1} лет	start age 16
month_monthOf	Месяц {1} из {2}	Month 5 of 13
		
		
pronouns_princess	[Они|Она|Он]/[их|её|его].	For princess, may be custom like Ey/em
pronouns_nonbinary	Они/их.	For non-princess charas only
pronouns_female	Она/её.	
pronouns_male	Он/его.	
appearance_nonbinary	Андрогинная внешность (в позднем возрасте)	
appearance_female	Феминная внешность (в позднем возрасте)	
appearance_male	Маскулинная внешность (в позднем возрасте)	
		
		
		
		
job_doing_shovel	Копать землю	
job_doing_farm	Заниматься фермерством	
job_doing_analyzePlants	Изучать ксеноботанику	
job_doing_tendAnimals	Ухаживать за животными	
job_doing_relaxPark	Отдохнуть в парке	
job_doing_babysitting	Няньчиться	
job_doing_cooking	Готовить	
job_doing_barista	Работать в кафе	
job_doing_photophonor	Играть на фотофоноре	
job_doing_relaxLounge	Отдохнуть в лаундже	
job_doing_studyBiology	Изучать науки о жизни	
job_doing_studyPhysics	Изучать инженерию	
job_doing_studyWriting	Изучать гуманитарные науки	
job_doing_tutoring	Репетиторствовать	
job_doing_robotRepair	Чинить роботов	
job_doing_nurse	Работать в медотсеке	
job_doing_sportsball	Играть в спортбол	
job_doing_defenseTraining	Оборонная подготовка	
job_doing_lookoutDuty	Караульная служба	
job_doing_guardDuty	Охранная служба	
job_doing_relaxWalls	Отдохнуть на стенах	
job_doing_delivery	Доставлять припасы	
job_doing_depot	Работать в депо	
job_doing_construction	Работать на стройке	
job_doing_assistant	Администрировать	
job_doing_leader	Работать губернатором	
job_doing_sneak	Возвращение после тайной вылазки	
job_doing_survey	Возвращение после разведки	
job_doing_forage	Возвращение после сбора ресурсов	
job_doing_hunt	Возвращение после охоты	
job_doing_exploreGlow	Возвращение после исследования окрестностей	
job_doing_exploreNearby	Возвращение после исследования окрестностей	
job_doing_relaxPet	Отдохнуть с питомцем	
job_doing_rebuild	Восстанавливать колонию	
job_doing_mourn	Быть в трауре	
		
		
difficulty_none	ничего	
difficulty_easy	легкое	
difficulty_normal	среднее	
difficulty_hard	сложное	
difficulty_impossible	невозможное	
		
battleHeader_difficulty	{1} испытание	easy challenge
battleHeader_skillDifficulty	{1} {2} испытание	easy empathy challenge
battleHeader_3rounds	3 раунда	
battleHeader_bonusLeft	{1} за	plus 3 for (Red Pairs Icon)
battleHeader_bonusRight_social	социальный стрит	
battleHeader_bonusRight_mental	ментальный флеш	
battleHeader_bonusRight_physical	физическая пара	
		
battleBonus_fromSource	{1} от {2}	+4 from Pet Bot Gear
battleBonus_fromSource_multiply	x{1} от {2}	x2 from Pet Bot Gear
battleBonus_fromSource_zeroed	обнулён за {1}	zeroed by Pet Bot Gear
battleBonus_tooltip	{1} за {2}	+1 for Straight of 3
battleBonus_and	и	Bonus1 and Bonus2
battleBonus_from	{1} от {2}	+3 from Condition and Vriki III
		
		
battlePane_roundLocked	(раунд {1})	round 3
battle_tooltip_sort_suit	Сортировать по масти	
battle_tooltip_sort_value	Сортировать по значению	
battle_tooltip_autoplayFairy	Фея автоплея: раз за битву находит чуть лучшую руку	
battle_tooltip_tutorial	Показать/Скрыть обучение	
battle_goal_superGoal	Бонус за скрытую цель:\n+1 к {1}	Bonus for hidden higher goal +1 to Animals
battle_goal_hand	{1} стоимость руки:\n{2} за значения карт	15 total hand value: 5 from card values
battle_goal_pairs	{1} от пар/стритов/флешей	+3 from pair/straight/flush
battle_goal_global	{1} от глобальных бонусов	
battle_goal_button_nextRound	следующий раунд	
battle_goal_button_win	победа!	
battle_goal_button_lose	сдаться	
battle_goal_finalRound	Последний раунд!	
battle_goal_round	Раунд {1} из {2}	Round 1 of 3
battle_goal_title	цель	
battle_goal_title_super	супер цель!	
battle_button_pushThrough	Прорваться\n({1} стресса)	Push through (5 stress)
battle_button_pushThroughNo	Прорваться\n	
battle_reward_won	Выигранное испытание	
battle_reward_failed	Проваленное испытание	
battle_reward_superGoal	Супер цель	
battle_reward_bestScore	Лучший счёт	
battle_reward_exactScore	Точный результат от {1}	
battle_close_keep	Закрыть и оставить карты	
battle_close_forget	забыть	
battle_winLose_won	Победа!	
battle_winLose_lost	Поражение!	
battle_bestScore_yes	Лучший счёт {1} из {2}	
battle_bestScore_no	Всего {1} из лучшего результата {2}	
battle_bestScore_lastRound	(только последний раунд)	
battle_title_challenge	Испытание	
battle_fail_defeated	Побеждён	
battle_fail_wouldHave	Вы бы получили {1}	
battle_useCard	Использовать {1}?	Use a crystal?
battle_forgetTitle	Хотите забыть?	
battle_forgetTooltip	"Выберите карту для удаления или нажмите кнопку ""Закрыть"", чтобы оставить все карты."	
battle_forgetConfirm	Забыть {1}?	
battle_forgetConfirmNone	Сохранить воспоминания?	
		
		
		
cardValueTooltip_gained	Получено 1	when shown in Results Menu
cardValueTooltip_shop	+1 добавляется в магазин каждый год	
cardValueTooltip_freeCollectible	Первое использование бесплатно, за состояние	
cardValueTooltip_collectible	{1} получено	5 owned
cardValueTooltip_base	Базовое значение {1}	Base value 3
		
cardForgetTooltip	Выбрать, чтобы забыть.	For both consoles and pc use controller wording not 'click'
cardForgetTooltipUndo	Выбрать, чтобы отменить забывание.	
cardArtCreditsTooltip	Иллюстрация {1}	Illustration by Sarah Northway
cardForgotten	ЗАБЫТО	
		
cardAbilitySource_collectible	одноразовая находка	
cardAbilitySource_condition	боевое состояние	
cardAbilitySource_status	Статус {1}	Insomnia Status
cardAbilitySource_perk	Перк {1}	Spongy Brain Perk
cardAbilitySource_thisCard	эта карта	
cardAbilitySource_gear	снаряжение {1}	Captain's Hat gear
cardAbilitySource_unknown	неизвестная карта	
		
cardType_pet	Питомец	
cardType_gear	Снаряжение	
cardType_collectible	Находка	
cardType_memory	Воспоминание	
		
cardChange_gained	Получен {1}	Gained Collectible
cardChange_lost	Потерян {1}	Lost Collectible
cardChange_forgot	Забыто {1}	Forgot Memory
cardChange_upgraded	Улучшен {1}	Upgraded Pet
cardChange_skip	Выберите карту, чтобы пропустить получение.	
		
statusChange_gained	Получен статус: {1}	Status Gained: Starving
statusChange_ended	Статус закончился: {1}	
statusChange_nothing	ничего	
		
shop_shop_title	Магазин депо	
shop_shop_subtitle	Кликните по карте, чтобы выбрать	
shop_shop_button	Купить	
shop_training_title	Тренировочный зал	
shop_training_subtitle	Выберите базовую карту для улучшения	
shop_training_button	Улучшить	
shop_trainingBuy_title	Тренировочный зал	
shop_trainingBuy_subtitle	Выберите базовую карту для покупки	
shop_trainingBuy_button	Купить	
shop_spa_title	Медитация спа	
shop_spa_subtitle	Выберите воспоминание, чтобы забыть	
shop_spa_button	Забыть	
shop_sell_title	Магазин депо	
shop_sell_subtitle	Выбрать карту для продажи	
shop_sell_button	Продать	
popup_shopBuy	Купить {1} за {2} похвал?	Buy Cool Dress for 100 Kudos?
popup_shopUpgrade	Улучшить {1} до {2} за {3} похвал?	
popup_shopForget	Вы уверены, что хотите навсегда забыть {1}?	
popup_shopSell	Продать {1} за {2} похвал?	
popup_shopPurchaseComplete	Покупка завершена!	
popup_shopUpgradeComplete	Улучшение завершено!	
popup_shopForgetComplete	Вы глубоко вдыхаете. Это воспоминание забыто...	
popup_shop_SellComplete	Продажа завершена!	
button_shop_buy	Покупка	
button_shop_buyFor	Куплено за {1} похвал	
button_shop_afford	Вы не можете себе этого позволить	
		
		
		
		
		
save_title_replace	Выберите сейв для замены	
save_title_load	Загрузить предыдущую игру	
save_button_new	Новый сейв	
save_button_overwrite	Перезаписать	
popup_save_confirm1	Вы уверены?	
popup_save_confirm2	Точно-точно уверены?	
popup_save_deleteGroundhogs1	Удалить ВСЕ воспоминания? Удалить все воспоминания о прошлых жизнях. Настройки и сохранения НЕ будут удалены. Достижения, просмотренные карты, персонажи и концовки НЕ будут удалены.	
popup_save_deleteGroundhogs2	"Это позволит удалить все отсылки к ""червоточине"", напоминающие о воспоминаниях из прошлых игр."	
popup_save_deleteGroundhogs3	Воспоминания из прошлых жизней стёрты.	
popup_save_deleteData1	Удалить ВСЕ данные? Удалить все сохранения, воспоминания о прошлых жизнях и сбросить пользовательские настройки? Включая данные о внутриигровых достижениях, просмотренные карты, персонажей и концовки.	
popup_save_deleteData2	Это удалит ВСЕ пользовательские данные, включая ВСЕ сохранения, настройки и логи, оставляя заводскую настройку.	
popup_save_deleteData3	Все пользовательские данные были удалены.	
popup_save_deleteDataTradeshow	Все пользовательские данные были удалены и все настройки сброшены, кроме Settings.tradeShowMode	
		
popup_missingGroundhogs_header	ОШИБКА: отсутствуют воспоминания о прошлых жизнях	
popup_missingGroundhogs_text	Ваш файл Groundhogs.json, возможно, повреждён.\n\nХотите восстановить воспоминания о прошлых жизнях, достижения, концовки и карты из этого сохранения?	
popup_missingGroundhogs_warn	Это навсегда заменит ВСЕ воспоминания о прошлых жизнях и контент галереи.\n\nЭто не повлияет на достижения на других платформах, только на их запись в галерее игры.	
popup_missingGroundhogs_done	Восстановление завершено	
popup_missingGroundhogs_done2	Воспоминания о прошлых жизнях восстановлены из этого файла сохранения в Groundhogs.json. Предыдущий файл сохранен в Groundhogs_old.json.	
popup_saveFailed	ОШИБКА: не удалось сохранить файл. Возможно, ваше хранилище переполнено, или игра повреждена.	
popup_saveFailedFinal	ПОСЛЕДНЕЕ ПРЕДУПРЕЖДЕНИЕ: не удалось сохранить данные в файловую систему.	
		
		
		
		
suit_none	ничего	
suit_social	социальная	
suit_mental	ментальная	
suit_physical	физическая	
suit_wildcard	вайлд	
suitWithColor_none	ничего	
suitWithColor_social	социальная (жёлтая)	
suitWithColor_mental	ментальная (синяя)	
suitWithColor_physical	физическая (красная)	
suitWithColor_wildcard	вайлд	
card_left	слева	Will be replaced with a left arrow when it appears in card text
card_right	справа	
		
		
player_explore_stress	Проходит время...\n{1}	Time passes... +20 stress
player_explore_stress_high	Тебе стоит\nскоро пойти домой...	
player_colony_stress_high	Скоро тебе\nнужен перерыв...	
player_colony_stress_max	Тебе нужен\nотдых...	
player_biomeTitle_strato	Колония\nСтрато	
player_biomeTitle_helio	Колония\nГелио	
		
		
		
		
		
		
fancyButton_continue	Нажмите, чтобы продолжить...	
fancyButton_continue_ps	Нажмите кнопку X чтобы продолжить...	
fancyButton_continue_switch	Нажмите кнопку A чтобы продолжить...	
fancyButton_continue_xbox	Нажмите кнопку A чтобы продолжить...	
fancyButton_continue_deck	Нажмите кнопку A чтобы продолжить...	
		
		
tutorial_start1	"Ой! Темми подпрыгивает, когда ты выходишь из каюты позади неё. ""Ты проснулся! Тебе уже лучше? Тебе лучше пойти к папе!"" Она указывает на юго-восток, в сторону геодезических куполов."	
		
tutorial_start2	Для ходьбы используйте клавиши WASD, стрелки, щелчок мышью, щелчок и удержание кнопки мыши, а также крестовину или аналоговый джойстик. Чтобы поговорить с персонажем, щелкните по нему или нажмите Enter или кнопку «Взаимодействовать», когда вы находитесь рядом с ним.	
tutorial_start2_pc	Чтобы идти, щёлкните по земле. Чтобы поговорить с персонажами, щёлкните по ним.	
tutorial_start2_ps	Для ходьбы используйте левый стик или кнопки направления. Чтобы поговорить с персонажем, нажмите кнопку X, находясь рядом с ним.	
tutorial_start2_switch	Чтобы ходить, наклоните левый стик или нажмите кнопки направления. Чтобы поговорить с персонажем, нажмите кнопку A, находясь рядом с ним, или коснитесь сенсорного экрана.	
tutorial_start2_xbox	Для ходьбы используйте левый аналоговый стик или крестовину. Чтобы поговорить с персонажем, нажмите кнопку A, находясь рядом с ним.	
tutorial_start2_deck	Для ходьбы используйте левый аналоговый стик или крестовину. Чтобы поговорить с персонажем, нажмите кнопку A, находясь рядом с ним, или коснитесь сенсорного экрана.	
		
tutorial_doors	Чтобы войти в здание, щелкните по двери или флагу рядом с ним, или подойдите ближе и нажмите «Вход» или другую кнопку действия.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
tutorial_doors_pc	Чтобы войти в здание, щелкните по двери или флагу рядом с ним, или подойдите ближе и нажмите «Вход» или другую кнопку действия.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
tutorial_doors_ps	Чтобы войти в здание, нажмите кнопку X рядом с дверью или флагом.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
tutorial_doors_switch	Чтобы войти в здание, нажмите кнопку A рядом с дверью или флагом, или коснитесь сенсорного экрана.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
tutorial_doors_xbox	Чтобы войти в здание, нажмите кнопку A рядом с дверью или флагом.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
tutorial_doors_deck	Чтобы войти в здание, нажмите кнопку A рядом с дверью или флагом, или коснитесь сенсорного экрана.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
		
tutorial_deck	"С возрастом ваша колода будет пополняться, и вы сможете забыть о картах, проводя время за отдыхом.\n\nУ вас ограниченное количество слотов для снаряжения, зависящее от вашего навыка ""Собранность"" и прочих. Щелкните по снаряжению, чтобы надеть/снять его.\n\nНайденные во время исследования находки можно дарить друзьям или использовать в испытаниях для получения одноразовых бонусов."	
tutorial_explore	"Событие в этой зоне можно выполнять в любом порядке. Они не тратят время, но повысят стресс. Вернуться домой можно через флаг на базе экспедиции или с помощью кнопки ""Домой"" в левом верхнем углу экрана.\n\nИщите находки, которые можно собрать в качестве подарков! События возобновляются в начале каждого года, а новые находки могут появляться каждый сезон."	
tutorial_battle1	Во время работы или учёбы вы будете разыгрывать короткие карточные игры по мере прохождения месяца. Перемещайте карты, чтобы заполнить 5 слотов и составить максимально выгодную комбинацию. Да, порядок имеет значение...	
tutorial_battle1b	Если ваш результат в круге справа достигнет целевого значения, вы выиграете.\n\nВ зависимости от ваших карт, некоторые испытания не получится пройти, но вы все равно получите награду за свои старания.	
tutorial_battle2	Бонус за флеши (одинаковые цвета вместе):	
tutorial_battle2b	Бонус за пары (одинаковые числа вместе):	
tutorial_battle3	Бонус за стрит (увеличение слева направо):	
tutorial_battle3b	Чем больше карт во флеше, парах или стрите, тем выше бонус, добавляемый к вашему общему результату. Карты также могут влиять друг на друга и могут быть переставлены для достижения наилучшего общего результата.	
tutorial_battle_settings_a	Ищете более сложный вариант? Этот вариант «Более сложные испытания» не даст вам заскучать.	
tutorial_battle_settings_b	Хотите сосредоточиться на сюжете? В этом случае будущие мини-игры будут заменены быстрым подбрасыванием монеты, зависящим от вашего возраста и навыков. Вы можете изменить любой из этих вариантов в любое время в меню настроек.	
tutorial_battle_story	В сюжетных испытаниях три раунда вместо одного. После каждого раунда вы сохраняете неиспользованные карты и открываете дополнительный слот для их размещения. Проигрыш в сюжетных испытаниях не всегда плохо!	
tutorial_battle_conditions	С возрастом у испытаний появятся свои условия. Масть испытания (социальная, ментальная или физическая) определяет, какие условия могут возникнуть и какие колоды будут наиболее эффективны.\n\nПостарайтесь собрать социальные (жёлтые) карты, если хотите выигрывать битвы за социальные навыки (эмпатия, убеждение, творчество, смелость).	
tutorial_afterjob	Ваши навыки растут во время работы или учебы, и вы получаете бонусные очки навыков за победу в испытаниях и бонус за составление самой лучшей комбинации карт.\n\nРабота и учёба также повышает уровень стресса, который помешает вам работать и учиться, если он достигнет 100. Чтобы снять стресс, возьмите месячный отпуск и отдохните в жилом крыле.	
tutorial_year	Детство скоротечно! Игра закончится, когда вам исполнится 20 лет, поэтому сосредоточьтесь на развитии нескольких навыков и на общении с друзьями. Используйте кнопки «Навыки» и «Друзья» в левом верхнем углу экрана, чтобы следить за ними. Удачи!	
		
		
gallery_bg_attack	атака	
gallery_bg_bar	бар гелиос	
gallery_bg_barn	амбар	
gallery_bg_barn_glow	ночной амбар	
gallery_bg_bedroom	спальня	
gallery_bg_bedroom_newship	спальня гелиос	
gallery_bg_bedroom_newship_night	спальня ночью	
gallery_bg_bridge	мостик	
gallery_bg_cafe	кафе	
gallery_bg_cafeteria	кафетерий	
gallery_bg_cave	пещера	
gallery_bg_cave_array	пещера домена	
gallery_bg_classroom	классная комната	
gallery_bg_colony	колония страто	
gallery_bg_colony_dusk	склон в сумерках	
gallery_bg_colony_glow	инженерия в сиянии	
gallery_bg_colony_newship	колония гелио	
gallery_bg_colony_newship_wet	гелио во влагу	
gallery_bg_colony_quiet	инженерное крыло	
gallery_bg_colony_wet	обрыв на закате	
gallery_bg_command	командное крыло	
gallery_bg_construction	стройка	
gallery_bg_creche	ясли	
gallery_bg_creche_night	ясли ночью	
gallery_bg_darkness	тьма	
gallery_bg_darkness_suns	система вертумна	
gallery_bg_depot	депо	
gallery_bg_destroyed	разрушенная колония	
gallery_bg_destroyed_dusty	посадка гелио	
gallery_bg_earth	земля	
gallery_bg_engineering	инженерия	
gallery_bg_expeditions	ворота экспедиции	
gallery_bg_expeditionsreturn	экспедиция в сумерках	
gallery_bg_expeditionsreturn_day	возврат из экспедиции	
gallery_bg_expeditions_map	карта экспедиции	
gallery_bg_fantasy_forest	фентезийный лес	
gallery_bg_garden	сад	
gallery_bg_garrison	гарнизон страто	
gallery_bg_garrison_newship	холл гарнизона	
gallery_bg_geoponics	геопоника	
gallery_bg_glow	червоточина в сиянии	
